                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1639,                 3.2713,                 1.3701,                0.74181,                0.62602,                0.70786,                0.53942,                0.92426,                 1.4534,                 1.2021,             6.7787e-05,             6.7787e-05,             6.7787e-05
                      2,                0.97751,                 1.5936,                 1.2106,                0.79414,                0.76153,                0.81608,                0.60862,                0.95743,                 1.0575,                 1.1896,             0.00013131,             0.00013131,             0.00013131
                      3,                0.95182,                 1.3003,                 1.1853,                0.82677,                0.74097,                0.84867,                0.64305,                0.89529,                0.98009,                   1.15,             0.00019034,             0.00019034,             0.00019034
                      4,                 0.9278,                 1.1484,                 1.1713,                0.83289,                0.88518,                0.90463,                0.69924,                0.83774,                0.78587,                 1.1091,              0.0001838,              0.0001838,              0.0001838
                      5,                0.89298,                 1.0042,                  1.142,                0.88439,                0.84267,                0.91024,                 0.7074,                0.82548,                0.76565,                 1.1033,              0.0001838,              0.0001838,              0.0001838
                      6,                0.85073,                0.92752,                 1.1282,                0.90948,                0.89703,                0.93242,                0.74214,                0.75735,                 0.6541,                 1.0429,             0.00017707,             0.00017707,             0.00017707
                      7,                0.80723,                0.82467,                 1.0939,                0.86314,                0.91589,                0.93271,                0.74656,                  0.732,                0.63381,                 1.0475,             0.00017034,             0.00017034,             0.00017034
                      8,                   0.78,                0.75937,                 1.0811,                0.90249,                0.92331,                0.94677,                0.77203,                0.70753,                0.54028,                 1.0114,             0.00016361,             0.00016361,             0.00016361
                      9,                 0.7569,                0.71031,                 1.0714,                0.89375,                0.92947,                 0.9505,                0.78779,                0.66805,                0.50985,                0.99355,             0.00015688,             0.00015688,             0.00015688
                     10,                 0.7255,                0.65862,                 1.0578,                0.93313,                0.91934,                0.95157,                0.78259,                0.69764,                0.51158,                0.99945,             0.00015014,             0.00015014,             0.00015014
